title,slug,chapter_type,abbreviation,parent_organization,organization_family,war_period,war_period_name,state,state_slug,county,county_slug,geo_tag,address_line1,city,postal_code,latitude,longitude,has_location,phone,email,website,facebook,instagram,twitter,youtube,linkedin,post_number,meeting_time,meeting_place,source_url
FRA Branch 137 - Sierra Tahoe,fra-branch-137-nv,local,Branch 137,fra,FRA,world-war-1,World War I,NV,nevada,Carson City,carson-city,nv_32510,FRA SIERRA TAHOE BRANCH 137 P O BOX 826,CARSON CITY,89702,39.1297282,-119.6730939,true,,,,,,,,,137,"1830, 2nd Wed.","220 N Division St , Carson City, NV",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=137
FRA Branch 192 - Silver Dollar,fra-branch-192-nv,local,Branch 192,fra,FRA,world-war-1,World War I,NV,nevada,Churchill County,churchill-county,nv_32001,4130,Raven Drive Fallon,89406,39.489665,-118.8401196,true,,,http://www.frabranch192.com/,,,,,,192,"0900, 3rd Sat.","AmLeg Post #16, 90 N. Ada St., Fallon, NV",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=192
FRA Branch 274 - High Sierra,fra-branch-274-nv,local,Branch 274,fra,FRA,world-war-1,World War I,NV,nevada,Carson City,carson-city,nv_32510,FRA Branch 274 PO Box 20512,Carson City,89721,39.1637984,-119.7674034,true,,,,,,,,,274,"1300, Last Fri.","703 4th St. Sparks, NV",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=274
FRA Branch 279 - Fabulous Vegas,fra-branch-279-nv,local,Branch 279,fra,FRA,world-war-1,World War I,NV,nevada,Clark County,clark-county,nv_32003,1815 Westwind Rd,Las Vegas,89146,36.1515243,-115.2193028,true,,,,,,,,,279,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=279
FRA Branch 2 - Schuyler S Pyle,fra-branch-2-ny,local,Branch 2,fra,FRA,world-war-1,World War I,NY,new-york,Kings County,kings-county,ny_36047,58 Bradford St,Brooklyn,11207,40.678247,-73.8938682,true,,,,,,,,,2,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=002
FRA Branch 23 - Buffalo,fra-branch-23-ny,local,Branch 23,fra,FRA,world-war-1,World War I,NY,new-york,Erie County,erie-county,ny_36029,40 Goering Ave,Buffalo,14225,42.910762,-78.7527256,true,,,,,,,,,23,"1300, 4th Mon. Except May and Dec.","AmLeg Post 735, 35 Legion Dr, West Seneca, NY 14224",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=023
"FRA Branch 35 - Ny, Queens",fra-branch-35-ny,local,Branch 35,fra,FRA,world-war-1,World War I,NY,new-york,Queens County,queens-county,ny_36081,,,,40.7432847,-73.8549518,true,,,,,,,,,35,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=035
FRA Branch 71 - Long Island,fra-branch-71-ny,local,Branch 71,fra,FRA,world-war-1,World War I,NY,new-york,Nassau County,nassau-county,ny_36059,PO Box 238,Franklin Square,11010,40.68884,-73.7252356,true,,,,,,,,,71,Contact Michael Smith (515) 667-3410Meeting Time & date:,Time: Contact Michael Smith (515) 667-3410,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=071
"FRA Branch 169 - Ny, Olean",fra-branch-169-ny,local,Branch 169,fra,FRA,world-war-1,World War I,NY,new-york,Cattaraugus County,cattaraugus-county,ny_36009,,,,42.083639,-78.429927,true,,,,,,,,,169,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=169
"FRA Branch 193 - Ny, Saratoga Springs",fra-branch-193-ny,local,Branch 193,fra,FRA,world-war-1,World War I,NY,new-york,Saratoga County,saratoga-county,ny_36091,,,,43.08337059999999,-73.7849756,true,,,,,,,,,193,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=193
"FRA Branch 195 - Ny, Freeport",fra-branch-195-ny,local,Branch 195,fra,FRA,world-war-1,World War I,NY,new-york,Nassau County,nassau-county,ny_36059,,,,40.6576022,-73.5831835,true,,,,,,,,,195,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=195
FRA Branch 214 - Iroquois,fra-branch-214-ny,local,Branch 214,fra,FRA,world-war-1,World War I,NY,new-york,Rensselaer County,rensselaer-county,ny_36083,29 Sherwood Ave,Rensselaer,12144,42.62415980000001,-73.7289493,true,,,,,,,,,214,"1900, 2nd Tues.","Pine Grove Church, 1580 Central Ave., Colonie, NY",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=214
FRA Branch 226 - Staten Island,fra-branch-226-ny,local,Branch 226,fra,FRA,world-war-1,World War I,NY,new-york,Richmond County,richmond-county,ny_36085,288 Thorncroft Ave.,Staten Island,10312,40.555548,-74.1827119,true,,,,,,,,,226,"1930, 2nd Wed.","Marine Corps League, 46 Ontario Ave., Staten Island, NY",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=226
FRA Branch 229 - Mid-Hudson,fra-branch-229-ny,local,Branch 229,fra,FRA,world-war-1,World War I,NY,new-york,Orange County,orange-county,ny_36071,6 Johnson Rd,Montgomery,12549,41.5343128,-74.2000041,true,,,,,,,,,229,"1330, 1st Thurs.","AmLeg Post 1796, 29 Walnut St., New Windsor, NY",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=229
FRA Branch 285 - Central New York,fra-branch-285-ny,local,Branch 285,fra,FRA,world-war-1,World War I,NY,new-york,Cayuga County,cayuga-county,ny_36011,1484 Howland Island Rd,Port Byron,13140,43.0635802,-76.6410092,true,,,,,,,,,285,"1900, 3rd Thurs.","Pastime Athletic Club, 1314 N. Salina St., Syracuse, NY",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=285
"FRA Branch 297 - Ny, St Albans",fra-branch-297-ny,local,Branch 297,fra,FRA,world-war-1,World War I,NY,new-york,Queens County,queens-county,ny_36081,,,,40.6895283,-73.7643688,true,,,,,,,,,297,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=297
FRA Branch 306 - Leather Stocking Country,fra-branch-306-ny,local,Branch 306,fra,FRA,world-war-1,World War I,NY,new-york,Oneida County,oneida-county,ny_36065,8855 State Route 365,Stittville,13469,43.2269446,-75.3018811,true,,,,,,,,,306,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=306
FRA Branch 17 - Cleveland,fra-branch-17-oh,local,Branch 17,fra,FRA,world-war-1,World War I,OH,ohio,Cuyahoga County,cuyahoga-county,oh_39035,7407 Arden Ave,Parma,44129,41.408846,-81.7356017,true,,,,,,,,,17,"1930, 4th Mon.","VFW Post 2533, 3791 W. 150th St., Cleveland, OH",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=017
FRA Branch 28 - O K I,fra-branch-28-oh,local,Branch 28,fra,FRA,world-war-1,World War I,OH,ohio,Butler County,butler-county,oh_39017,1321,Dana Drive Oxford,45056,39.494335,-84.7531902,true,,,,,,,,,28,,Contact Jim Lipnickey (513) 310-7280,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=028
FRA Branch 199 - Buckeye,fra-branch-199-oh,local,Branch 199,fra,FRA,world-war-1,World War I,OH,ohio,Franklin County,franklin-county,oh_39049,967 Dennison Ave,Columbus,43201,39.9816284,-83.0090096,true,,,,,,,,,199,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=199
"FRA Branch 277 - Oh, Toledo",fra-branch-277-oh,local,Branch 277,fra,FRA,world-war-1,World War I,OH,ohio,Lucas County,lucas-county,oh_39095,,,,41.6528052,-83.5378674,true,,,,,,,,,277,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=277
FRA Branch 319 - Richland,fra-branch-319-oh,local,Branch 319,fra,FRA,world-war-1,World War I,OH,ohio,Richland County,richland-county,oh_39139,1740 Devonshire Ln,Mansfield,44907,40.7127633,-82.5567193,true,,,,,,,,,319,"1800, 2nd Wed.","Veterans Building, 34 Park Ave, W, Mansfield, OH",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=319
FRA Branch 324 - Akron Canton,fra-branch-324-oh,local,Branch 324,fra,FRA,world-war-1,World War I,OH,ohio,Stark County,stark-county,oh_39151,2203 Baldwin Ave,NE Canton,44705,40.8202656,-81.3255871,true,,,,,,,,,324,"1000, 3rd Tues.","VFW Post 3747, 1935 Avalon Ave NE, Canton, OH",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=324
FRA Branch 327 - Miami Valley,fra-branch-327-oh,local,Branch 327,fra,FRA,world-war-1,World War I,OH,ohio,Montgomery County,montgomery-county,oh_39113,3101 Delaney St,Dayton,45420,39.7001578,-84.1193313,true,,,,,,,,,327,"1530, 3rd Mon.","VFW Post 8312, 2389 Dayton-Xenia Rd, Beavercreek, OH",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=327
FRA Branch 54 - Indian Nations,fra-branch-54-ok,local,Branch 54,fra,FRA,world-war-1,World War I,OK,oklahoma,Pittsburg County,pittsburg-county,ok_40121,12332 W US Highway 270,McAlester,74501,34.9414848,-95.9609165,true,,,,,,,,,54,"1300, 1st Sat.","VFW Post 1098, McAlester, OK",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=054
FRA Branch 160 - Green Country,fra-branch-160-ok,local,Branch 160,fra,FRA,world-war-1,World War I,OK,oklahoma,Muskogee County,muskogee-county,ok_40101,4600 Oklahoma St,Muskogee,74401,35.7570049,-95.4185086,true,,,,,,,,,160,"1000, 2nd Sat.","USS Batfish Memorial Park, 3500 Bat Fish Dr., Muskogee, OK",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=160
FRA Branch 268 - Uss Oklahoma,fra-branch-268-ok,local,Branch 268,fra,FRA,world-war-1,World War I,OK,oklahoma,Oklahoma County,oklahoma-county,ok_40109,1700 N. Fordson Ave,Bethany,73008,35.4863548,-97.6423404,true,,,,,,,,,268,"1900, 3rd Tues.","Elks Lodge #1890, 8635 SE 15th St., Midwest City, OK",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=268
FRA Branch 280 - Uss Tulsa Memorial,fra-branch-280-ok,local,Branch 280,fra,FRA,world-war-1,World War I,OK,oklahoma,Tulsa County,tulsa-county,ok_40143,5766 E 27th Pl,Tulsa,74114,36.1229179,-95.9107271,true,,,,,,,,,280,"1100, 3rd Sat.","AmLeg Post 308, 11328 E. Admiral Pl, Tulsa, OK",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=280
FRA Branch 321 - Ark Okla,fra-branch-321-ok,local,Branch 321,fra,FRA,world-war-1,World War I,OK,oklahoma,Pittsburg County,pittsburg-county,ok_40121,,,,34.7745428,-95.6610951,true,,,,,,,,,321,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=321
FRA Branch 55 - City Of Roses,fra-branch-55-or,local,Branch 55,fra,FRA,world-war-1,World War I,OR,oregon,Multnomah County,multnomah-county,or_41051,8329 SE 89th Ave.,Portland,97266,45.4634398,-122.5723145,true,,,,,,,,,55,"1900, 2nd Fri.","AmLeg Post #150, 8329 SE 89th Ave., Portland, OR",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=055
FRA Branch 68 - Caveman,fra-branch-68-or,local,Branch 68,fra,FRA,world-war-1,World War I,OR,oregon,Josephine County,josephine-county,or_41033,2210 SW Webster Rd,Grants Pass,97526,42.4298637,-123.3556742,true,,,,,,,,,68,"1730, 3rd Wed., (not July and August)",Redwood Grange Contact Secretary Nick Peters (541) 660-6842.,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=068
FRA Branch 151 - Eugene,fra-branch-151-or,local,Branch 151,fra,FRA,world-war-1,World War I,OR,oregon,Lane County,lane-county,or_41039,209 E Rosewood Ave,Eugene,97404,44.0901802,-123.12232,true,,,,,,,,,151,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=151
FRA Branch 198 - Central Oregon,fra-branch-198-or,local,Branch 198,fra,FRA,world-war-1,World War I,OR,oregon,Deschutes County,deschutes-county,or_41017,21005 Young Ave,Bend,97701,44.1957244,-121.2733365,true,,,,,,,,,198,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=198
FRA Branch 328 - W J Bessey,fra-branch-328-or,local,Branch 328,fra,FRA,world-war-1,World War I,OR,oregon,Douglas County,douglas-county,or_41019,1201 N Old Pacific Hwy,Myrtle Creek,97457,43.00883460000001,-123.2966613,true,,,,,,,,,328,"1200, 4th Sat.","AmLeg Post 16, 406 SE Oak Ave., Roseburg, OR",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=328
FRA Branch 374 - Cherry City,fra-branch-374-or,local,Branch 374,fra,FRA,world-war-1,World War I,OR,oregon,Linn County,linn-county,or_41043,PO Box 884,Mill City,97360,44.7540106,-122.4781385,true,,,,,,,,,374,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=374
FRA Branch 1 - George L Carlin,fra-branch-1-pa,local,Branch 1,fra,FRA,world-war-1,World War I,PA,pennsylvania,Bucks County,bucks-county,pa_42017,4674 Sunrise Ave.,Bensalem,19020,40.1384723,-74.9430007,true,,,,,,,,,1,"1300, 1st Mon.","USCG. Station Delaware Sector Bay 1 Washington Ave., Philadelphia, PA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=001
FRA Branch 87 - Bedford Springs,fra-branch-87-pa,local,Branch 87,fra,FRA,world-war-1,World War I,PA,pennsylvania,Bedford County,bedford-county,pa_42009,2009 Frosty Hollow Rd,Roaring Spring,16673,40.2753559,-78.3901616,true,,,,,,,,,87,"1930, 3rd Thur.",Pleasantville VFW Post 9219,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=087
FRA Branch 106 - Harrisburg,fra-branch-106-pa,local,Branch 106,fra,FRA,world-war-1,World War I,PA,pennsylvania,Cumberland County,cumberland-county,pa_42041,3926 Brookridge Dr,Mechanicsburg,17050,40.263151,-76.9687587,true,,,,,,,,,106,"1900, 2nd Mon.","DAV, 4219 E. Trindle Rd., Camp Hill, PA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=106
FRA Branch 115 - Black Diamond,fra-branch-115-pa,local,Branch 115,fra,FRA,world-war-1,World War I,PA,pennsylvania,Northampton County,northampton-county,pa_42095,3647 Cottage Dr,Bethlehem,18020,40.6692395,-75.3657893,true,,,https://www.frabranch115lv.com/,,,,,,115,"0900, 2nd Tue..","AmLeg Post #367, 609 Fullerton Ave., Whitehall, PA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=115
FRA Branch 146 - Johnsville/Willow Grove,fra-branch-146-pa,local,Branch 146,fra,FRA,world-war-1,World War I,PA,pennsylvania,Montgomery County,montgomery-county,pa_42091,2319 Ming Rd.,Pottstown,19464,40.29583100000001,-75.6306242,true,,,https://www.facebook.com/Fleet-Reserve-Association-FRA-Branch-146-307484025931639/,,,,,,146,"1930, 2nd Tues. ( except November & December. we will meet on Wednesday at 7:30 pm at VFW Post 6493","VFW Post #6493, 645 Louis Dr., Warminster, PA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=146
FRA Branch 168 - Bainbridge,fra-branch-168-pa,local,Branch 168,fra,FRA,world-war-1,World War I,PA,pennsylvania,Chester County,chester-county,pa_42029,11,Nottingham,19362,39.7320103,-76.0293426,true,,,,,,,,,168,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=168
"FRA Branch 218 - Pa, Reading",fra-branch-218-pa,local,Branch 218,fra,FRA,world-war-1,World War I,PA,pennsylvania,Berks County,berks-county,pa_42011,206 N Sandy Ln,Sinking Spring,19608,40.3121701,-76.0578964,true,,,,,,,,,218,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=218
FRA Branch 253 - Steel City,fra-branch-253-pa,local,Branch 253,fra,FRA,world-war-1,World War I,PA,pennsylvania,Fayette County,fayette-county,pa_42051,145 Old Furnace Rd,Hopwood,15445,39.8741085,-79.7050387,true,,,,,,,,,253,"1400, 2nd Sat.",Contact Secretary,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=253
FRA Branch 258 - Commodore Perry,fra-branch-258-pa,local,Branch 258,fra,FRA,world-war-1,World War I,PA,pennsylvania,Erie County,erie-county,pa_42049,1225 Belleview Dr,Erie,16504,42.1050257,-80.0345258,true,,,,,,,,,258,"1900, 2nd Tues.","VA Medical Center, 135 E. 38th St., Eri, PA- 2nd Floor, Conf. Room",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=258
FRA Branch 288 - Anthracite,fra-branch-288-pa,local,Branch 288,fra,FRA,world-war-1,World War I,PA,pennsylvania,Lackawanna County,lackawanna-county,pa_42069,3605 Springer St,Scranton,18507,41.3684823,-75.702511,true,,,,,,,,,288,"1900, 3rd Tues.","VFW Post 1227, 492 Stephenson Street, Duryea, PA",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=288
FRA Branch 320 - Argonauts,fra-branch-320-pa,local,Branch 320,fra,FRA,world-war-1,World War I,PA,pennsylvania,Clearfield County,clearfield-county,pa_42033,59 Pacific Ave,Du Bois,15801,41.1086605,-78.7670356,true,,,,,,,,,320,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=320
FRA Branch 19 - Newport,fra-branch-19-ri,local,Branch 19,fra,FRA,world-war-1,World War I,RI,rhode-island,Newport County,newport-county,ri_44005,231 Maple Ave Apt 101,Newport,02840,41.5165323,-71.3116697,true,,,,,,,,,19,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=019
FRA Branch 42 - Quonset Davisville,fra-branch-42-ri,local,Branch 42,fra,FRA,world-war-1,World War I,RI,rhode-island,Washington County,washington-county,ri_44009,PO Box 184,North Kingstown,02852,41.5877721,-71.4655565,true,,,http://www.fra42.org/,,,,,,42,"1000, 3rd Sat.","Seabee Museum, 21 Iafrate Way, N. Kingstown, RI",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=042
FRA Branch 132 - Blackstone Valley,fra-branch-132-ri,local,Branch 132,fra,FRA,world-war-1,World War I,RI,rhode-island,Providence County,providence-county,ri_44007,18 Lemieux Ave,Cumberland,02864,41.9288093,-71.4067006,true,,,,,,,,,132,"1300, 1st Mon.","VFW Post 306, 171 Fountain St., Pawtucket, RI",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=132
FRA Branch 15 - The Leland Alexander Memorial Golden Corner,fra-branch-15-sc,local,Branch 15,fra,FRA,world-war-1,World War I,SC,south-carolina,Oconee County,oconee-county,sc_45073,400 Delphi Dr.,Seneca,29672,34.710842,-82.974234,true,,,https://www.facebook.coom/groups/branch15,,,,,,15,"0900, 3rd Sat.","Chicopee UMC, 403 S. Catherine St., Walhalla, SC 29671",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=015
FRA Branch 202 - J.T.Brown Columbia,fra-branch-202-sc,local,Branch 202,fra,FRA,world-war-1,World War I,SC,south-carolina,Chester County,chester-county,sc_45023,311 Chester Ave,Great Falls,29055,34.5846147,-80.9089973,true,,,,,,,,,202,"1230, 3rd Tues.","Navy Operational Support Ctr, 2620 Lee Rd., Ft. Jackson, SC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=202
FRA Branch 234 - Foothills,fra-branch-234-sc,local,Branch 234,fra,FRA,world-war-1,World War I,SC,south-carolina,Anderson County,anderson-county,sc_45007,10 Pinson Dr,Honea Path,29654,34.439366,-82.3931741,true,,,,,,,,,234,"1000, 3rd Sat.","Raines on Main Restaurant, 312 S. Main St., Anderson, SC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=234
FRA Branch 254 - Grand Strand,fra-branch-254-sc,local,Branch 254,fra,FRA,world-war-1,World War I,SC,south-carolina,Horry County,horry-county,sc_45051,1913 Heritage Loop,Myrtle Beach,29577,33.6712142,-78.960489,true,,,,,,,,,254,"1245, 3rd Wed.","Vets Cafe, 3544 Northgate Dr., Myrtle Beach, SC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=254
FRA Branch 269 - Low Country,fra-branch-269-sc,local,Branch 269,fra,FRA,world-war-1,World War I,SC,south-carolina,Berkeley County,berkeley-county,sc_45015,99 Wisteria Rd,Goose Creek,29445,32.9953987,-80.0366427,true,,,http://www.fra269gc.org,,,,,,269,"1900, 3rd Thur.","Branch Home, 99 Wisteria Rd., Goose Creek, SC",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=269
FRA Branch 325 - Mt Rushmore,fra-branch-325-sd,local,Branch 325,fra,FRA,world-war-1,World War I,SD,south-dakota,Pennington County,pennington-county,sd_46103,805 Dilger Ave,Rapid City,57701,44.09205439999999,-103.2250903,true,,,,,,,,,325,"1830, 2nd Fri.",Contact Secretary,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=325
"FRA Branch 360 - Sd, Watertown",fra-branch-360-sd,local,Branch 360,fra,FRA,world-war-1,World War I,SD,south-dakota,Codington County,codington-county,sd_46029,,,,44.8994088,-97.1150732,true,,,,,,,,,360,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=360
FRA Branch 44 - Tennessee Valley,fra-branch-44-tn,local,Branch 44,fra,FRA,world-war-1,World War I,TN,tennessee,Giles County,giles-county,tn_47055,116 Richland Dr,Pulaski,38478,35.2026,-87.0391565,true,,,,,,,,,44,"1200 noon, 2nd Thurs.","Maury Co. Senior Citizen Ctr., 1020 Maury Cnty Pk. Dr., Columbia, TN",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=044
FRA Branch 86 - Millington,fra-branch-86-tn,local,Branch 86,fra,FRA,world-war-1,World War I,TN,tennessee,Shelby County,shelby-county,tn_47157,4224 Water Briar Rd,Millington,38053,35.3413191,-89.9226393,true,,,,,,,,,86,"1730, 3rd Mon.","VFW Post #7175, 4681 Cuba Millington Rd., Millington, TN",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=086
FRA Branch 110 - Middle Tennessee,fra-branch-110-tn,local,Branch 110,fra,FRA,world-war-1,World War I,TN,tennessee,Sumner County,sumner-county,tn_47165,107 Brookhaven Ct,Gallatin,37066,36.3175754,-86.5140514,true,,,,,,,,,110,"1300, 2nd Sun.","VFW Post 1291, 1907 Lebanon Pike, Nashville, TN",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=110
FRA Branch 187 - Chattanooga Choo Choo,fra-branch-187-tn,local,Branch 187,fra,FRA,world-war-1,World War I,TN,tennessee,Hamilton County,hamilton-county,tn_47065,901 Kentucky Ave,Signal Mountain,37377,35.1269831,-85.3415097,true,,,,,,,,,187,"1400, 3rd Thur.",Epicurean Restaurant 4301 Ringgold Rd Chattanooga,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=187
FRA Branch 194 - East Tennessee Branch 194,fra-branch-194-tn,local,Branch 194,fra,FRA,world-war-1,World War I,TN,tennessee,Knox County,knox-county,tn_47093,9505 Gulf,Park Drive Knoxville,37923,35.9310183,-84.1024139,true,,,,,,,,,194,"1400, 1st Sun.","Cokesbury UMC Center, 9915 Kingston Pike, Knoxville, TN",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=194
FRA Branch 231 - Memphis,fra-branch-231-tn,local,Branch 231,fra,FRA,world-war-1,World War I,TN,tennessee,Shelby County,shelby-county,tn_47157,1641 Lookout Ave,Memphis,38127,35.2063443,-90.0086606,true,,,,,,,,,231,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=231
"FRA Branch 265 - Tn, Cookeville",fra-branch-265-tn,local,Branch 265,fra,FRA,world-war-1,World War I,TN,tennessee,Putnam County,putnam-county,tn_47141,,,,36.1625445,-85.4988041,true,,,,,,,,,265,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=265
FRA Branch 294 - Crossville Tennesse,fra-branch-294-tn,local,Branch 294,fra,FRA,world-war-1,World War I,TN,tennessee,Cumberland County,cumberland-county,tn_47035,PO Box 204,Crossville,38557,35.95,-85.03,true,,,https://www.frabranch294.org/,,,,,,294,"0900, 2nd Sat.","AmLeg Post #163, 1446 South Main St., Crossville, TN",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=294
FRA Branch 323 - Upper East Tennessee,fra-branch-323-tn,local,Branch 323,fra,FRA,world-war-1,World War I,TN,tennessee,Sullivan County,sullivan-county,tn_47163,PO Box 429,Bluff City,37618,36.4742705,-82.2609685,true,,,,,,,,,323,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=323
FRA Branch 11 - Lone Star,fra-branch-11-tx,local,Branch 11,fra,FRA,world-war-1,World War I,TX,texas,Tarrant County,tarrant-county,tx_48439,PO Box 515,Kennedale,76060,32.640619,-97.2167511,true,,,,,,,,,11,"1200, 3rd Sat.","AmLeg Post 297, 8201 Old Benbrook Rd, Benbrook, TX",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=011
FRA Branch 94 - Corpus Christi,fra-branch-94-tx,local,Branch 94,fra,FRA,world-war-1,World War I,TX,texas,Nueces County,nueces-county,tx_48355,1651 Flour Bluff Dr.,Corpus Christi,78418,27.6661935,-97.301366,true,,,,,,,,,94,"1800, 1st Thur.","FRA Branch Home, 1651 Flour Bluff Dr., Corpus Christi, TX",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=094
FRA Branch 96 - Dallas,fra-branch-96-tx,local,Branch 96,fra,FRA,world-war-1,World War I,TX,texas,Tarrant County,tarrant-county,tx_48439,PO Box 48008,Watauga,76148,32.8579056,-97.2547371,true,,,,,,,,,96,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=096
FRA Branch 159 - Space City,fra-branch-159-tx,local,Branch 159,fra,FRA,world-war-1,World War I,TX,texas,Brazoria County,brazoria-county,tx_48039,"2800 E Broadway St, Ste",C137 Pearland,77581,29.5552462,-95.2630047,true,,,http://frabranch159.weebly.com,,,,,,159,"1600, 2nd Sun.","Houston Marriott Westchase, 2900 Briarpark Dr, Houston, TX 77042",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=159
FRA Branch 201 - Capitol Area,fra-branch-201-tx,local,Branch 201,fra,FRA,world-war-1,World War I,TX,texas,Burnet County,burnet-county,tx_48053,600 S Water Street #406,Burnet,78611,30.75291289999999,-98.2280482,true,,,,,,,,,201,"2500 E. Palm Valley Blvd ( TX79)- Round Rock, TXMeeting time & date: 1400, 2nd Sat.","Contact: 2500 E. Palm Valley Blvd ( TX79)- Round Rock, TX",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=201
FRA Branch 203 - Alamo City,fra-branch-203-tx,local,Branch 203,fra,FRA,world-war-1,World War I,TX,texas,Medina County,medina-county,tx_48325,2631 County Road 770,Natalia,78059,29.1191647,-98.81731,true,,,,,,,,,203,"1430, 4th Sun.","2002 W. Ridgewood Court, San Antonio, TX",https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=203
"FRA Branch 233 - Tx, Orange",fra-branch-233-tx,local,Branch 233,fra,FRA,world-war-1,World War I,TX,texas,Orange County,orange-county,tx_48361,,,,30.0929879,-93.7365549,true,,,,,,,,,233,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=233
FRA Branch 239 - Piney Woods,fra-branch-239-tx,local,Branch 239,fra,FRA,world-war-1,World War I,TX,texas,Harrison County,harrison-county,tx_48203,111 Katy St,Longview,75605,32.5104179,-94.6612785,true,,,,,,,,,239,,,https://www.fra.org/fra/Web/ShowBranchInfo.aspx?BranchId=239
